区,高橋,谷山,桜井,鳥越,増田,マック,山口,やまなか,後藤,岸本,小池,上杉,七海,中川,せきくち,立花,宮崎,今尾,望月,武井,ないとう
　　千代田区,82 ,46 ,632 ,4928 ,8200 ,370 ,83 ,12 ,54 ,52 ,14731 ,861 ,69 ,89 ,9 ,115 ,14 ,13 ,49 ,3 ,8 
　　中央区,123 ,106 ,1346 ,11219 ,19109 ,822 ,158 ,26 ,79 ,110 ,37675 ,2646 ,252 ,203 ,37 ,234 ,63 ,20 ,17 ,60 ,15 
　　港区,147 ,216 ,1861 ,18587 ,28526 ,1171 ,228 ,46 ,100 ,159 ,53860 ,3402 ,532 ,300 ,32 ,279 ,36 ,26 ,45 ,61 ,39 
　　新宿区,350 ,210 ,3125 ,29614 ,38848 ,1463 ,414 ,58 ,157 ,202 ,68912 ,5008 ,624 ,368 ,16 ,502 ,197 ,101 ,78 ,115 ,29 
　　文京区,309 ,160 ,1929 ,23354 ,28997 ,1071 ,257 ,51 ,105 ,207 ,52193 ,3678 ,358 ,342 ,10 ,423 ,82 ,70 ,67 ,73 ,29 
　　台東区,219 ,89 ,2145 ,18245 ,24480 ,820 ,216 ,47 ,90 ,144 ,43852 ,3075 ,462 ,280 ,11 ,321 ,92 ,18 ,35 ,120 ,32 
　　墨田区,302 ,109 ,2488 ,22100 ,35765 ,1024 ,301 ,67 ,142 ,141 ,59987 ,3841 ,565 ,311 ,20 ,582 ,61 ,99 ,48 ,105 ,61 
　　江東区,545 ,278 ,4315 ,44678 ,68609 ,1997 ,553 ,147 ,333 ,339 ,113926 ,6771 ,1068 ,623 ,48 ,1302 ,181 ,207 ,73 ,121 ,77 
　　品川区,467 ,363 ,3497 ,35498 ,50475 ,1695 ,508 ,70 ,176 ,299 ,87115 ,5573 ,1043 ,557 ,22 ,845 ,152 ,45 ,109 ,101 ,84 
　　目黒区,311 ,231 ,2053 ,26989 ,35553 ,1156 ,434 ,44 ,112 ,240 ,61766 ,4945 ,528 ,322 ,15 ,444 ,51 ,85 ,48 ,71 ,27 
　　大田区,748 ,430 ,6603 ,66010 ,97580 ,2655 ,769 ,270 ,346 ,617 ,152594 ,9003 ,1645 ,997 ,86 ,1320 ,195 ,110 ,138 ,316 ,105 
　　世田谷区,1178 ,638 ,7020 ,94304 ,118394 ,4211 ,1231 ,191 ,429 ,721 ,200438 ,15885 ,1666 ,1183 ,67 ,1703 ,218 ,251 ,406 ,282 ,138 
　　渋谷区,263 ,152 ,1804 ,21983 ,26139 ,1175 ,267 ,41 ,122 ,152 ,48954 ,4126 ,369 ,264 ,12 ,411 ,52 ,62 ,53 ,76 ,29 
　　中野区,557 ,179 ,3417 ,33878 ,40664 ,1422 ,353 ,70 ,186 ,260 ,69090 ,5384 ,605 ,414 ,15 ,744 ,97 ,48 ,73 ,114 ,44 
　　杉並区,1025 ,293 ,5214 ,63298 ,73182 ,2636 ,692 ,137 ,501 ,360 ,122484 ,10108 ,1105 ,836 ,45 ,1276 ,225 ,123 ,147 ,263 ,104 
　　豊島区,385 ,115 ,2610 ,24819 ,28116 ,1087 ,270 ,56 ,149 ,192 ,71194 ,3596 ,530 ,323 ,17 ,527 ,69 ,86 ,53 ,87 ,88 
　　北区,475 ,157 ,3153 ,37507 ,46961 ,1383 ,393 ,100 ,163 ,201 ,74722 ,4506 ,781 ,412 ,99 ,714 ,56 ,69 ,78 ,98 ,103 
　　荒川区,272 ,66 ,1802 ,18668 ,27341 ,724 ,237 ,57 ,144 ,118 ,44480 ,2585 ,480 ,302 ,24 ,327 ,33 ,45 ,34 ,43 ,41 
　　板橋区,752 ,207 ,5115 ,54427 ,72153 ,2006 ,670 ,149 ,234 ,299 ,119106 ,6962 ,1305 ,644 ,60 ,1125 ,125 ,218 ,120 ,174 ,151 
　　練馬区,998 ,317 ,5908 ,72706 ,90505 ,2595 ,832 ,129 ,328 ,532 ,171226 ,9792 ,1426 ,879 ,54 ,1542 ,148 ,142 ,206 ,216 ,171 
　　足立区,637 ,175 ,5570 ,57456 ,87863 ,2011 ,781 ,148 ,305 ,260 ,137460 ,6782 ,1444 ,606 ,41 ,1340 ,135 ,115 ,96 ,246 ,120 
　　葛飾区,490 ,134 ,3984 ,39357 ,61001 ,1464 ,518 ,101 ,203 ,239 ,94019 ,5120 ,1030 ,620 ,44 ,952 ,114 ,80 ,65 ,134 ,68 
　　江戸川区,693 ,281 ,5783 ,50888 ,89454 ,2275 ,605 ,203 ,352 ,448 ,137502 ,6767 ,1601 ,729 ,64 ,1388 ,224 ,215 ,180 ,197 ,149 