区,算数平均点,課税額,高学歴率,扶助率
千代田区,70.2,37.5,36.7,6.9
中央区,67.2,23.5,35.8,3.6
港区,67.9,42.2,31.3,8.8
新宿区,67.6,17.4,27.2,18.8
文京区,72.1,21.3,35.6,5.5
台東区,60.9,13.6,21.4,10
墨田区,59.4,12.1,19.7,21.7
江東区,64.8,14.1,25.7,13.2
品川区,67.5,16.9,26.6,7.4
目黒区,69.6,21.8,30.1,6.4
大田区,63.6,14.6,24.7,15.9
世田谷区,68.5,19.2,31.1,6.8
渋谷区,67.1,29.5,29.3,6.9
中野区,63.4,14.5,27.7,13
杉並区,69.1,17.2,36.2,6.4
豊島区,62.3,14.1,22.7,12.1
北区,61.4,11.6,21.6,16.8
荒川区,62.5,10.9,19.6,17.3
板橋区,58.8,11.7,22.1,30.9
練馬区,63.6,13.1,25.9,19.8
足立区,60.6,9.2,13.8,28.4
葛飾区,58.6,10.3,16.4,19.2
江戸川区,58.4,10.8,17.5,21.9